Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,Median Home Value,Percent Bachelors Degree,Median Rent,Percent Public Transportation to Work,Percent White Non-Hispanic, Housing Units,Percent Renter Occupied,Percent Occupied Structure w 3-4 Units,Percent Occupied Structure w 5+ Units,Percent Households w 3 Vehicles,Percent Households w 4+ Vehicles,"Percent Families, Married w Children Under 18", Total Households,Year,tract_id,median_houseprice_with_imputation,median_rent_with_imputation,median_income_by_year,median_housevalue_by_year,median_income_40th_perc_by_year,median_housevalue_40th_perc_by_year,Education_Attainment_Bachelors_Degree,increase_in_edu_attainment,increase_in_edu_attainment_top_3rd_percentile_by_year,increase_in_median_housevalue,increase_in_housevalue_top_3rd_percentile_by_year,def_1,median_income_40_percent_by_year,increase_in_median_rent,median_of_increase_in_rent_by_year,housevalue_distribution_current_year,housevalue_distribution_past_year,def_2,workers_taking_transit,increase_in_workers_taking_transit,dwelling_units_with_5+_units,increase_in_dwelling_units_with_5_plus_units,dwelling_units_with_3-4_units,increase_in_dwelling_units_with_3_4_units,renter_occupied,increase_in_renter_occupied,households_with_3_plus_cars,decrease_in_households_with_3_plus_cars,married_couples_with_children,decrease_in_households_with_children,non_hispanic_whites,decrease_in_non_hispanic_whites,def3
530330002006,Olympic Hills,Lake City,BG0002006,1314,83953,354839,39.48,580,13.09,71.77,553,12.33,0,4.7,7.78,3.23,58.86,1104,2010,5303300020,354839,580,69886.5,418602,62272.6,389955.6,519,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,172,None,26,None,0,None,68,None,122,None,650,None,943,None,None
530330003001,Haller Lake,Northgate,BG0003001,1258,75431,340748,30.34,735,15.5,67.73,507,21.27,0,6.71,9.61,6.14,30.77,1097,2010,5303300030,340748,735,69886.5,418602,62272.6,389955.6,382,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,195,None,34,None,0,None,108,None,172,None,338,None,852,None,None
530330003002,Haller Lake,Northgate,BG0003002,1345,60631,336222,25.48,728,19.58,60.52,654,26.62,0,7.34,9.65,5.99,27.08,1091,2010,5303300030,336222,728,69886.5,418602,62272.6,389955.6,343,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,263,None,48,None,0,None,174,None,170,None,295,None,814,None,None
530330004011,Haller Lake,Northgate,BG0004011,2842,38624,279131,28.52,765,5.12,52.99,1935,62.94,6.1,57.36,4.83,1.02,13.61,1084,2010,5303300040,279131,765,69886.5,418602,62272.6,389955.6,811,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,146,None,1110,None,118,None,1218,None,63,None,148,None,1506,None,None
530330004012,Bitter Lake,North Seattle,BG0004012,1442,72243,393802,17.35,826,14.07,65.74,716,57.98,1.68,36.45,4.82,1.05,43.49,1076,2010,5303300040,393802,826,69886.5,418602,62272.6,389955.6,250,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,203,None,261,None,12,None,415,None,63,None,468,None,948,None,None
530330004013,Bitter Lake,North Seattle,BG0004013,1267,22500,283882,18.09,405,13.77,74.82,1063,76.25,2.63,84.29,4.68,1.11,46.27,1073,2010,5303300040,283882,405,69886.5,418602,62272.6,389955.6,229,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,174,None,896,None,28,None,811,None,62,None,496,None,948,None,None
530330004021,Bitter Lake,North Seattle,BG0004021,1221,52669,403896,26.31,932,19.97,73.63,569,63.33,0,53.25,6.81,1.51,40.42,1069,2010,5303300040,403896,932,69886.5,418602,62272.6,389955.6,321,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,244,None,303,None,0,None,360,None,89,None,432,None,899,None,None
530330004022,Haller Lake,Northgate,BG0004022,937,51027,353804,33.02,702,14.71,66.92,430,53.19,0,38.37,6.86,1.47,30,1069,2010,5303300040,353804,702,69886.5,418602,62272.6,389955.6,309,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,138,None,165,None,0,None,229,None,89,None,321,None,627,None,None
530330004023,Bitter Lake,North Seattle,BG0004023,1194,50625,365385,35.37,911,15.37,67.42,611,57.02,0,62.19,6.93,1.56,33.43,1037,2010,5303300040,365385,911,69886.5,418602,62272.6,389955.6,422,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,184,None,380,None,0,None,348,None,88,None,347,None,805,None,None
530330004024,Bitter Lake,North Seattle,BG0004024,1489,59010,372832,31.56,1002,13.92,86.37,843,49.19,0,40.45,6.97,1.37,55.06,1023,2010,5303300040,372832,1002,69886.5,418602,62272.6,389955.6,470,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,207,None,341,None,0,None,415,None,85,None,563,None,1286,None,None
530330005001,Broadview,North Seattle,BG0005001,1236,148566,671086,37.82,0,2.56,88.43,520,0,0,0,28.34,4.19,36.51,1018,2010,5303300050,671086,875,69886.5,418602,62272.6,389955.6,467,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,32,None,0,None,0,None,0,None,332,None,372,None,1093,None,None
530330005002,Broadview,North Seattle,BG0005002,877,85156,484694,21.28,875,15.2,83.69,372,3.05,0,0,27.98,4.43,31.15,1000,2010,5303300050,484694,875,69886.5,418602,62272.6,389955.6,187,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,133,None,0,None,0,None,11,None,324,None,312,None,734,None,None
530330005003,Broadview,North Seattle,BG0005003,1052,101389,541946,31.43,1750,3.59,86.22,455,3.04,0,0,28.1,4.22,48.28,994,2010,5303300050,541946,1750,69886.5,418602,62272.6,389955.6,331,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,38,None,0,None,0,None,14,None,321,None,480,None,907,None,None
530330006001,Haller Lake,Northgate,BG0006001,1407,55147,362013,21.93,888,2.99,63.4,553,27.32,0,18.81,10.22,3.53,23.72,973,2010,5303300060,362013,888,69886.5,418602,62272.6,389955.6,309,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,42,None,104,None,0,None,151,None,133,None,231,None,892,None,None
530330006002,Pinehurst,Northgate,BG0006002,1172,38333,413158,28.87,848,30.48,59.04,634,72.17,0,65.93,10,3.5,21.31,953,2010,5303300060,413158,848,69886.5,418602,62272.6,389955.6,338,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,357,None,418,None,0,None,458,None,128,None,203,None,692,None,None
530330006003,Haller Lake,Northgate,BG0006003,1415,70399,353731,18.96,1013,35.02,64.45,668,17.68,0,19.61,10.17,3.44,25.49,950,2010,5303300060,353731,1013,69886.5,418602,62272.6,389955.6,268,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,496,None,131,None,0,None,118,None,130,None,242,None,912,None,None
530330006004,North College Park,Northgate,BG0006004,1544,59139,342358,32.16,824,22.51,53.11,727,36.95,8.39,14.86,10.13,3.42,24.5,949,2010,5303300060,342358,824,69886.5,418602,62272.6,389955.6,497,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,348,None,108,None,61,None,269,None,128,None,233,None,820,None,None
530330006005,Haller Lake,Northgate,BG0006005,803,71250,358073,47.92,196,0,67.25,310,11.22,0,0,10.2,3.4,56.45,942,2010,5303300060,358073,196,69886.5,418602,62272.6,389955.6,385,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,0,None,0,None,0,None,35,None,128,None,532,None,540,None,None
530330006006,Pinehurst,Northgate,BG0006006,1285,72003,352035,21.66,718,15.28,55.64,646,37,0,36.07,10.12,3.32,36.92,938,2010,5303300060,352035,718,69886.5,418602,62272.6,389955.6,278,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,196,None,233,None,0,None,239,None,126,None,346,None,715,None,None
530330007001,Meadowbrook,Lake City,BG0007001,1562,38129,280769,21.86,798,30.66,47.82,917,79.85,5.56,76.88,8.13,3.52,16.29,937,2010,5303300070,280769,798,69886.5,418602,62272.6,389955.6,341,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,479,None,705,None,51,None,732,None,109,None,153,None,747,None,None
530330007002,Matthews Beach,Lake City,BG0007002,1136,51136,381250,39.64,691,19.46,60.39,547,67.54,4.39,62.71,8.22,3.81,8.36,922,2010,5303300070,381250,691,69886.5,418602,62272.6,389955.6,450,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,221,None,343,None,24,None,369,None,111,None,77,None,686,None,None
530330007003,Pinehurst,Northgate,BG0007003,864,53247,363194,41.28,1285,14.55,67.48,422,45.75,0,30.81,8.25,3.5,34.52,922,2010,5303300070,363194,1285,69886.5,418602,62272.6,389955.6,357,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,126,None,130,None,0,None,193,None,108,None,318,None,583,None,None
530330007004,Pinehurst,Northgate,BG0007004,876,74679,429348,19.09,849,9.98,69.75,407,46.55,3.19,25.55,8.18,3.84,29.67,919,2010,5303300070,429348,849,69886.5,418602,62272.6,389955.6,167,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,87,None,104,None,13,None,189,None,110,None,273,None,611,None,None
530330008001,Matthews Beach,Lake City,BG0008001,1168,64198,380208,29.5,659,17.45,70.63,503,30.85,0,4.57,5.74,9.36,42.91,910,2010,5303300080,380208,659,69886.5,418602,62272.6,389955.6,345,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,204,None,23,None,0,None,155,None,137,None,390,None,825,None,None
530330008002,Matthews Beach,Lake City,BG0008002,1415,75702,420339,32.27,1138,19.51,78.37,583,16.87,0,4.8,5.68,9.24,41.12,902,2010,5303300080,420339,1138,69886.5,418602,62272.6,389955.6,457,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,276,None,28,None,0,None,98,None,134,None,371,None,1109,None,None
530330009001,Matthews Beach,Lake City,BG0009001,1093,97204,593750,32.2,1313,9.9,81.24,479,34.9,0,9.6,21.25,2.91,25.97,897,2010,5303300090,593750,1313,69886.5,418602,62272.6,389955.6,352,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,108,None,46,None,0,None,167,None,217,None,233,None,888,None,None
530330009002,Victory Heights,North Seattle,BG0009002,926,126607,815848,23.77,875,19.55,80.89,427,19.54,0,9.13,21.08,3.08,62.78,893,2010,5303300090,815848,875,69886.5,418602,62272.6,389955.6,220,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,181,None,39,None,0,None,83,None,216,None,561,None,749,None,None
530330010001,Matthews Beach,Lake City,BG0010001,902,61298,380435,10.22,875,4.88,58.31,382,38.08,6.81,17.54,10.96,1.1,34.17,890,2010,5303300100,380435,875,69886.5,418602,62272.6,389955.6,92,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,44,None,67,None,26,None,145,None,108,None,304,None,526,None,None
530330010002,Matthews Beach,Lake City,BG0010002,1039,90116,512605,31.42,833,6.84,73.63,420,30,2.62,20,10.75,1,40.91,885,2010,5303300100,512605,833,69886.5,418602,62272.6,389955.6,326,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,71,None,84,None,11,None,126,None,104,None,362,None,765,None,None
530330011001,Maple Leaf,Northgate,BG0011001,1223,82595,395802,34.61,733,9.5,68.27,581,44.34,4.82,17.56,8.49,10.19,45,883,2010,5303300110,395802,733,69886.5,418602,62272.6,389955.6,423,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,116,None,102,None,28,None,258,None,165,None,397,None,835,None,None
530330011002,Maple Leaf,Northgate,BG0011002,1280,77899,380357,22.03,1074,11.69,75.23,554,33.52,1.62,18.77,8.14,10.42,25.57,881,2010,5303300110,380357,1074,69886.5,418602,62272.6,389955.6,282,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,150,None,104,None,9,None,186,None,164,None,225,None,963,None,None
530330012001,Maple Leaf,Northgate,BG0012001,1262,74265,375936,46.52,1054,12.45,73.14,543,39.03,0,17.68,4.08,1.55,29.43,870,2010,5303300120,375936,1054,69886.5,418602,62272.6,389955.6,587,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,157,None,96,None,0,None,212,None,48,None,256,None,923,None,None
530330012002,Maple Leaf,Northgate,BG0012002,1149,47882,445000,25.87,819,46.73,57.01,557,77.86,3.23,60.5,4.01,1.53,33.87,864,2010,5303300120,445000,819,69886.5,418602,62272.6,389955.6,297,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,537,None,337,None,18,None,434,None,48,None,293,None,655,None,None
530330012003,Maple Leaf,Northgate,BG0012003,1349,21257,187736,33.59,522,41.85,63.6,1002,87.2,1.4,94.51,4.12,1.52,0,863,2010,5303300120,187736,522,69886.5,418602,62272.6,389955.6,453,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,565,None,947,None,14,None,874,None,49,None,0,None,858,None,None
530330012004,Maple Leaf,Northgate,BG0012004,1217,40921,231500,26.97,936,30.43,46.34,676,80.79,15.83,79.44,4.13,1.59,5.41,858,2010,5303300120,231500,936,69886.5,418602,62272.6,389955.6,328,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,370,None,537,None,107,None,546,None,49,None,46,None,564,None,None
530330012005,Maple Leaf,Northgate,BG0012005,1517,39593,205385,33.16,888,20.96,49.18,903,77.51,0,76.3,4.11,1.45,22.32,856,2010,5303300120,205385,888,69886.5,418602,62272.6,389955.6,503,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,318,None,689,None,0,None,700,None,47,None,191,None,746,None,None
530330013001,North College Park,Northgate,BG0013001,1593,42324,300000,28.2,813,17.61,65.47,869,71.25,16,54.32,3.22,1.49,16.31,852,2010,5303300130,300000,813,69886.5,418602,62272.6,389955.6,449,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,281,None,472,None,139,None,619,None,40,None,139,None,1043,None,None
530330013002,North College Park,Northgate,BG0013002,1361,41611,291038,13.98,697,33.84,49.38,680,76.15,3.82,55.29,3.48,1.58,6.51,850,2010,5303300130,291038,697,69886.5,418602,62272.6,389955.6,190,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,461,None,376,None,26,None,518,None,43,None,55,None,672,None,None
530330013003,North College Park,Northgate,BG0013003,1386,56213,448165,47.36,878,7.53,61.98,739,71.2,6.77,43.44,3.47,1.3,27.3,846,2010,5303300130,448165,878,69886.5,418602,62272.6,389955.6,656,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,104,None,321,None,50,None,526,None,40,None,231,None,859,None,None
530330014001,Bitter Lake,North Seattle,BG0014001,1072,67257,407979,20,803,4.11,77.15,539,43.29,5.75,30.98,12.8,4.27,10.98,846,2010,5303300140,407979,803,69886.5,418602,62272.6,389955.6,214,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,44,None,167,None,31,None,233,None,144,None,93,None,827,None,None
530330014002,Bitter Lake,North Seattle,BG0014002,1071,82750,423478,28.27,940,25.86,78.99,516,37.4,0,29.07,12.82,4.41,39.09,842,2010,5303300140,423478,940,69886.5,418602,62272.6,389955.6,303,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,277,None,150,None,0,None,193,None,145,None,329,None,846,None,None
530330014003,Bitter Lake,North Seattle,BG0014003,1360,52817,398026,25.3,810,15.69,68.31,670,66.2,2.09,26.57,12.93,4.36,7.76,839,2010,5303300140,398026,810,69886.5,418602,62272.6,389955.6,344,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,213,None,178,None,14,None,444,None,145,None,65,None,929,None,None
530330014004,Crown Hill,North Seattle,BG0014004,1345,94481,457488,33.5,1500,9.96,86.69,582,4.63,0,0,12.99,4.27,25.85,838,2010,5303300140,457488,1500,69886.5,418602,62272.6,389955.6,451,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,134,None,0,None,0,None,27,None,145,None,217,None,1166,None,None
530330015001,Loyal Heights,Ballard,BG0015001,1205,89890,583633,38.08,866,6.94,90.21,539,19.03,0,10.95,16.5,5.05,40.73,832,2010,5303300150,583633,866,69886.5,418602,62272.6,389955.6,459,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,84,None,59,None,0,None,103,None,179,None,339,None,1087,None,None
530330015002,Sunset Hill,Ballard,BG0015002,1249,113007,601190,25.71,922,4.43,89.67,586,9.34,0,5.12,16.7,5.03,33.33,830,2010,5303300150,601190,922,69886.5,418602,62272.6,389955.6,321,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,55,None,30,None,0,None,55,None,181,None,277,None,1120,None,None
530330016001,Crown Hill,North Seattle,BG0016001,1375,130797,800962,34.67,1568,8.41,91.42,567,8.58,0,0,10.58,3.83,37.06,827,2010,5303300160,800962,1568,69886.5,418602,62272.6,389955.6,477,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,116,None,0,None,0,None,49,None,119,None,306,None,1257,None,None
530330016002,Loyal Heights,Ballard,BG0016002,1342,104938,636603,38.22,2000,13.07,86.51,567,5.66,0,0,10.4,3.83,31.93,824,2010,5303300160,636603,2000,69886.5,418602,62272.6,389955.6,513,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,175,None,0,None,0,None,32,None,118,None,263,None,1161,None,None
530330016003,Whittier Heights,Ballard,BG0016003,1414,62500,415169,32.4,771,13.43,72.21,713,43.47,3.09,29.17,10.57,3.96,26.61,811,2010,5303300160,415169,771,69886.5,418602,62272.6,389955.6,458,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,190,None,208,None,22,None,310,None,118,None,216,None,1021,None,None
530330017011,Greenwood,North Seattle,BG0017011,1605,53198,380000,39.07,909,21.18,60.93,891,59.14,0,67.45,9.5,3.44,38.51,807,2010,5303300170,380000,909,69886.5,418602,62272.6,389955.6,627,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,340,None,601,None,0,None,527,None,105,None,311,None,978,None,None
530330017012,Greenwood,North Seattle,BG0017012,1113,62050,286957,37.14,717,16.8,77.18,624,38.8,2.4,44.71,9.4,3.42,8.33,807,2010,5303300170,286957,717,69886.5,418602,62272.6,389955.6,413,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,187,None,279,None,15,None,242,None,104,None,67,None,859,None,None
530330017013,Bitter Lake,North Seattle,BG0017013,1100,57216,331818,44.42,617,12.62,69.73,536,42.06,15.3,26.31,9.52,3.37,17.19,805,2010,5303300170,331818,617,69886.5,418602,62272.6,389955.6,489,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,139,None,141,None,82,None,225,None,104,None,138,None,767,None,None
530330017021,Bitter Lake,North Seattle,BG0017021,1322,57348,397727,38.55,722,14.3,69.59,734,59.91,5.04,36.38,9.54,3.52,26.76,803,2010,5303300170,397727,722,69886.5,418602,62272.6,389955.6,510,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,189,None,267,None,37,None,440,None,105,None,215,None,920,None,None
530330017022,Whittier Heights,Ballard,BG0017022,1024,65512,365185,28.82,729,4.78,79.79,482,26.02,0,17.01,9.46,3.44,21.94,795,2010,5303300170,365185,729,69886.5,418602,62272.6,389955.6,295,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,49,None,82,None,0,None,125,None,102,None,174,None,817,None,None
530330017023,Greenwood,North Seattle,BG0017023,1004,73197,424561,22.25,767,28.57,73.61,408,68.8,15.44,39.95,9.46,3.58,34.68,793,2010,5303300170,424561,767,69886.5,418602,62272.6,389955.6,223,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,287,None,163,None,63,None,281,None,103,None,275,None,739,None,None
530330017024,Greenwood,North Seattle,BG0017024,884,63710,371753,33.95,1375,12.4,71.95,384,16.31,0,0,9.63,3.48,13.99,793,2010,5303300170,371753,1375,69886.5,418602,62272.6,389955.6,300,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,110,None,0,None,0,None,63,None,104,None,111,None,636,None,None
530330018001,Green Lake,North Seattle,BG0018001,1490,79816,406667,50,971,19.46,65.91,666,55.31,0,18.47,6.97,1.58,38.96,793,2010,5303300180,406667,971,69886.5,418602,62272.6,389955.6,745,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,290,None,123,None,0,None,368,None,68,None,309,None,982,None,None
530330018002,Green Lake,North Seattle,BG0018002,1499,72372,341718,37.93,930,17.13,70.85,789,70.66,14.32,34.6,7.13,1.48,44.5,790,2010,5303300180,341718,930,69886.5,418602,62272.6,389955.6,569,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,257,None,273,None,113,None,558,None,68,None,352,None,1062,None,None
530330018003,North College Park,Northgate,BG0018003,1546,66361,350962,43.76,886,30.74,67.85,837,67.59,4.3,35.6,7.09,1.57,17.52,781,2010,5303300180,350962,886,69886.5,418602,62272.6,389955.6,677,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,475,None,298,None,36,None,566,None,67,None,137,None,1049,None,None
530330019001,Maple Leaf,Northgate,BG0019001,1529,60298,278797,37.32,865,15.63,60.17,1132,29.1,3.09,54.95,9.49,3.95,24.54,777,2010,5303300190,278797,865,69886.5,418602,62272.6,389955.6,571,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,239,None,622,None,35,None,329,None,105,None,191,None,920,None,None
530330019002,Roosevelt,North Seattle,BG0019002,1362,77524,421472,41.1,911,15.25,78.85,578,27.37,5.54,12.11,9.3,3.94,36.18,774,2010,5303300190,421472,911,69886.5,418602,62272.6,389955.6,560,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,208,None,70,None,32,None,158,None,102,None,280,None,1074,None,None
530330019003,Roosevelt,North Seattle,BG0019003,1266,71489,375000,34.82,1538,15.92,79.54,538,29.09,1.3,19.89,9.44,4.05,25.29,774,2010,5303300190,375000,1538,69886.5,418602,62272.6,389955.6,441,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,202,None,107,None,7,None,157,None,104,None,196,None,1007,None,None
